year,month,label,median_duration
2016,1,C,110
2016,1,IDW,152
2016,1,L,134
2016,1,R,76
2016,1,fL,875
2016,1,fR,109
2016,2,C,100
2016,2,IDW,135
2016,2,L,132
2016,2,R,97
2016,2,fL,66
2016,2,fR,124
2016,3,C,94
2016,3,IDW,94
2016,3,L,143
2016,3,R,123
2016,3,fL,283
2016,3,fR,137
2016,4,C,116
2016,4,IDW,106
2016,4,L,132
2016,4,R,103
2016,4,fL,85
2016,4,fR,135
2016,5,C,120
2016,5,IDW,123
2016,5,L,130
2016,5,R,114
2016,5,fL,35
2016,5,fR,109
2016,6,C,109
2016,6,IDW,105
2016,6,L,136
2016,6,R,108
2016,6,fL,123
2016,6,fR,118
2016,7,C,128
2016,7,IDW,118
2016,7,L,140
2016,7,R,105
2016,7,fL,217
2016,7,fR,138
2016,8,C,119
2016,8,IDW,127
2016,8,L,143
2016,8,R,95
2016,8,fL,24
2016,8,fR,116
2016,9,C,109
2016,9,IDW,139
2016,9,L,148
2016,9,R,93
2016,9,fL,291
2016,9,fR,118
2016,10,C,104
2016,10,IDW,154
2016,10,L,140
2016,10,R,104
2016,10,fL,168
2016,10,fR,145
2016,11,C,117
2016,11,IDW,148
2016,11,L,143
2016,11,R,76
2016,11,fL,176
2016,11,fR,141
2016,12,C,124
2016,12,IDW,134
2016,12,L,137
2016,12,R,69
2016,12,fL,152
2016,12,fR,151
2017,1,C,113
2017,1,IDW,137
2017,1,L,133
2017,1,R,61
2017,1,fL,138
2017,1,fR,149
2017,2,C,104
2017,2,IDW,130
2017,2,L,116
2017,2,R,79
2017,2,fL,158
2017,2,fR,152
2017,3,C,117
2017,3,IDW,124
2017,3,L,131
2017,3,R,50
2017,3,fL,170
2017,3,fR,154
2017,4,C,113
2017,4,IDW,148
2017,4,L,130
2017,4,R,45
2017,4,fL,127
2017,4,fR,132
2017,5,C,119
2017,5,IDW,157
2017,5,L,138
2017,5,R,72
2017,5,fL,81
2017,5,fR,143
2017,6,C,142
2017,6,IDW,164
2017,6,L,148
2017,6,R,95
2017,6,fL,361
2017,6,fR,172
2017,7,C,133
2017,7,IDW,171
2017,7,L,149
2017,7,R,113
2017,7,fL,239
2017,7,fR,213
2017,8,C,140
2017,8,IDW,142
2017,8,L,142
2017,8,R,66
2017,8,fL,60
2017,8,fR,200
2017,9,C,103
2017,9,IDW,158
2017,9,L,155
2017,9,R,40
2017,9,fL,141
2017,9,fR,192
2017,10,C,116
2017,10,IDW,138
2017,10,L,152
2017,10,R,58
2017,10,fL,115
2017,10,fR,217
2017,11,C,138
2017,11,IDW,157
2017,11,L,155
2017,11,R,24
2017,11,fL,174
2017,11,fR,218
2017,12,C,143
2017,12,IDW,174
2017,12,L,159
2017,12,R,107
2017,12,fL,16
2017,12,fR,255
2018,1,C,150
2018,1,IDW,165
2018,1,L,156
2018,1,R,73
2018,1,fL,162
2018,1,fR,153
2018,2,C,116
2018,2,IDW,161
2018,2,L,151
2018,2,R,146
2018,2,fL,165
2018,2,fR,176
2018,3,C,129
2018,3,IDW,169
2018,3,L,148
2018,3,R,128
2018,3,fL,25
2018,3,fR,140
2018,4,C,130
2018,4,IDW,177
2018,4,L,142
2018,4,R,111
2018,4,fL,66
2018,4,fR,149
2018,5,C,131
2018,5,IDW,160
2018,5,L,148
2018,5,R,134
2018,5,fL,109
2018,5,fR,158
2018,6,C,124
2018,6,IDW,148
2018,6,L,144
2018,6,R,98
2018,6,fL,39
2018,6,fR,142
2018,7,C,117
2018,7,IDW,145
2018,7,L,147
2018,7,R,127
2018,7,fL,133
2018,7,fR,203
2018,8,C,126
2018,8,IDW,193
2018,8,L,165
2018,8,R,97
2018,8,fL,42
2018,8,fR,171
2018,9,C,133
2018,9,IDW,138
2018,9,L,174
2018,9,R,127
2018,9,fL,242
2018,9,fR,140
2018,10,C,130
2018,10,IDW,172
2018,10,L,180
2018,10,R,116
2018,10,fL,121
2018,10,fR,175
2018,11,C,145
2018,11,IDW,191
2018,11,L,185
2018,11,R,122
2018,11,fL,31
2018,11,fR,204
2018,12,C,126
2018,12,IDW,190
2018,12,L,138
2018,12,R,106
2018,12,fL,96
2018,12,fR,211
2019,1,C,183
2019,1,IDW,200
2019,1,L,108
2019,1,R,195
2019,1,fL,187
2019,1,fR,230
2019,2,C,146
2019,2,IDW,185
2019,2,L,174
2019,2,R,149
2019,2,fL,118
2019,2,fR,171
2019,3,C,134
2019,3,IDW,192
2019,3,L,157
2019,3,R,189
2019,3,fL,334
2019,3,fR,196
2019,4,C,131
2019,4,IDW,195
2019,4,L,139
2019,4,R,161
2019,4,fL,212
2019,4,fR,209
2019,5,C,159
2019,5,IDW,164
2019,5,L,186
2019,5,R,150
2019,5,fL,292
2019,5,fR,160
2019,6,C,141
2019,6,IDW,195
2019,6,L,150
2019,6,R,172
2019,6,fL,87
2019,6,fR,178
2019,7,C,129
2019,7,IDW,179
2019,7,L,156
2019,7,R,159
2019,7,fL,334
2019,7,fR,204
2019,8,C,67
2019,8,IDW,217
2019,8,L,144
2019,8,R,175
2019,8,fL,807
2019,8,fR,172
2019,9,C,118
2019,9,IDW,207
2019,9,L,155
2019,9,R,144
2019,9,fL,341
2019,9,fR,178
2019,10,C,114
2019,10,IDW,197
2019,10,L,137
2019,10,R,171
2019,10,fL,209
2019,10,fR,163
2019,11,C,113
2019,11,IDW,193
2019,11,L,108
2019,11,R,133
2019,11,fL,293
2019,11,fR,166
2019,12,C,120
2019,12,IDW,173
2019,12,L,115
2019,12,R,100
2019,12,fL,324
2019,12,fR,143
2020,1,C,124
2020,1,IDW,153
2020,1,L,129
2020,1,R,90
2020,1,fL,140
2020,1,fR,104
2020,2,C,128
2020,2,IDW,138
2020,2,L,124
2020,2,R,85
2020,2,fL,70
2020,2,fR,95
2020,3,C,124
2020,3,IDW,175
2020,3,L,131
2020,3,R,94
2020,3,fL,71
2020,3,fR,111
2020,4,C,109
2020,4,IDW,177
2020,4,L,134
2020,4,R,111
2020,4,fL,99
2020,4,fR,151
2020,5,C,104
2020,5,IDW,132
2020,5,L,143
2020,5,R,115
2020,5,fL,121
2020,5,fR,92
2020,6,C,104
2020,6,IDW,183
2020,6,L,149
2020,6,R,120
2020,6,fL,77
2020,6,fR,128
2020,7,C,116
2020,7,IDW,170
2020,7,L,156
2020,7,R,148
2020,7,fL,133
2020,7,fR,179
2020,8,C,111
2020,8,IDW,151
2020,8,L,143
2020,8,R,137
2020,8,fL,129
2020,8,fR,127
2020,9,C,111
2020,9,IDW,149
2020,9,L,160
2020,9,R,153
2020,9,fL,190
2020,9,fR,177
2020,10,C,131
2020,10,IDW,139
2020,10,L,156
2020,10,R,149
2020,10,fL,74
2020,10,fR,114
2020,11,C,113
2020,11,IDW,131
2020,11,L,166
2020,11,R,123
2020,11,fL,83
2020,11,fR,98
2020,12,C,112
2020,12,IDW,131
2020,12,L,175
2020,12,R,107
2020,12,fL,178
2020,12,fR,169
2021,1,C,119
2021,1,IDW,127
2021,1,L,188
2021,1,R,147
2021,1,fL,94
2021,1,fR,170
2021,2,C,119
2021,2,IDW,104
2021,2,L,180
2021,2,R,137
2021,2,fL,60
2021,2,fR,150
2021,3,C,136
2021,3,IDW,138
2021,3,L,173
2021,3,R,175
2021,3,fL,144
2021,3,fR,126
2021,4,C,100
2021,4,IDW,121
2021,4,L,154
2021,4,R,144
2021,4,fL,74
2021,4,fR,115
2021,5,C,130
2021,5,IDW,109
2021,5,L,176
2021,5,R,150
2021,5,fL,104
2021,5,fR,91
2021,6,C,117
2021,6,IDW,96
2021,6,L,174
2021,6,R,100
2021,6,fL,78
2021,6,fR,110
2021,7,C,133
2021,7,IDW,115
2021,7,L,159
2021,7,R,132
2021,7,fL,87
2021,7,fR,80
2021,8,C,128
2021,8,IDW,122
2021,8,L,163
2021,8,R,141
2021,8,fL,63
2021,8,fR,76
2021,9,C,152
2021,9,IDW,111
2021,9,L,159
2021,9,R,154
2021,9,fL,182
2021,9,fR,102
2021,10,C,102
2021,10,IDW,109
2021,10,L,162
2021,10,R,159
2021,10,fL,79
2021,10,fR,119
