year,month,monthly_cat_duration,median_user_watchtime,label
2016,1,490.5,8.175,L
2016,2,496.0,8.266666666666667,L
2016,3,517.0,8.616666666666667,L
2016,4,452.5,7.541666666666667,L
2016,5,491.0,8.183333333333334,L
2016,6,473.0,7.883333333333334,L
2016,7,523.0,8.716666666666667,L
2016,8,504.0,8.4,L
2016,9,525.0,8.75,L
2016,10,545.0,9.083333333333334,L
2016,11,548.0,9.133333333333333,L
2016,12,505.0,8.416666666666666,L
2017,1,579.0,9.65,L
2017,2,624.5,10.408333333333333,L
2017,3,629.5,10.491666666666667,L
2017,4,634.0,10.566666666666666,L
2017,5,641.0,10.683333333333334,L
2017,6,664.5,11.075,L
2017,7,725.0,12.083333333333334,L
2017,8,587.5,9.791666666666666,L
2017,9,534.0,8.9,L
2017,10,642.0,10.7,L
2017,11,652.0,10.866666666666667,L
2017,12,607.0,10.116666666666667,L
2018,1,682.5,11.375,L
2018,2,625.5,10.425,L
2018,3,662.5,11.041666666666666,L
2018,4,653.0,10.883333333333333,L
2018,5,544.0,9.066666666666666,L
2018,6,697.0,11.616666666666667,L
2018,7,603.5,10.058333333333334,L
2018,8,674.5,11.241666666666667,L
2018,9,646.0,10.766666666666667,L
2018,10,645.0,10.75,L
2018,11,772.0,12.866666666666667,L
2018,12,722.0,12.033333333333333,L
2019,1,662.0,11.033333333333333,L
2019,2,743.0,12.383333333333333,L
2019,3,712.0,11.866666666666667,L
2019,4,780.0,13.0,L
2019,5,769.0,12.816666666666666,L
2019,6,748.0,12.466666666666667,L
2019,7,713.0,11.883333333333333,L
2019,8,653.0,10.883333333333333,L
2019,9,674.5,11.241666666666667,L
2019,10,642.0,10.7,L
2019,11,709.5,11.825,L
2019,12,716.5,11.941666666666666,L
2020,1,774.5,12.908333333333333,L
2020,2,670.5,11.175,L
2020,3,647.0,10.783333333333333,L
2020,4,598.0,9.966666666666667,L
2020,5,619.5,10.325,L
2020,6,675.0,11.25,L
2020,7,627.0,10.45,L
2020,8,580.0,9.666666666666666,L
2020,9,565.0,9.416666666666666,L
2020,10,687.0,11.45,L
2020,11,728.0,12.133333333333333,L
2020,12,789.0,13.15,L
2021,1,740.0,12.333333333333334,L
2021,2,649.0,10.816666666666666,L
2021,3,729.0,12.15,L
2021,4,673.5,11.225,L
2021,5,693.0,11.55,L
2021,6,779.0,12.983333333333333,L
2021,7,648.5,10.808333333333334,L
2021,8,656.0,10.933333333333334,L
2021,9,669.0,11.15,L
2021,10,728.0,12.133333333333333,L
2021,11,752.0,12.533333333333333,L
2021,12,615.5,10.258333333333333,L
2016,1,466.0,7.766666666666667,C
2016,2,402.0,6.7,C
2016,3,391.0,6.516666666666667,C
2016,4,445.0,7.416666666666667,C
2016,5,383.5,6.391666666666667,C
2016,6,396.0,6.6,C
2016,7,469.0,7.816666666666666,C
2016,8,414.0,6.9,C
2016,9,435.0,7.25,C
2016,10,517.0,8.616666666666667,C
2016,11,473.0,7.883333333333334,C
2016,12,530.0,8.833333333333334,C
2017,1,452.0,7.533333333333333,C
2017,2,516.5,8.608333333333333,C
2017,3,467.0,7.783333333333333,C
2017,4,584.5,9.741666666666667,C
2017,5,558.5,9.308333333333334,C
2017,6,602.5,10.041666666666666,C
2017,7,680.0,11.333333333333334,C
2017,8,592.0,9.866666666666667,C
2017,9,598.0,9.966666666666667,C
2017,10,606.0,10.1,C
2017,11,679.0,11.316666666666666,C
2017,12,609.0,10.15,C
2018,1,577.0,9.616666666666667,C
2018,2,561.5,9.358333333333333,C
2018,3,577.0,9.616666666666667,C
2018,4,577.0,9.616666666666667,C
2018,5,541.0,9.016666666666667,C
2018,6,461.0,7.683333333333334,C
2018,7,552.0,9.2,C
2018,8,529.0,8.816666666666666,C
2018,9,552.5,9.208333333333334,C
2018,10,526.0,8.766666666666667,C
2018,11,576.0,9.6,C
2018,12,547.5,9.125,C
2019,1,691.0,11.516666666666667,C
2019,2,467.0,7.783333333333333,C
2019,3,558.0,9.3,C
2019,4,583.0,9.716666666666667,C
2019,5,489.0,8.15,C
2019,6,647.0,10.783333333333333,C
2019,7,628.5,10.475,C
2019,8,549.0,9.15,C
2019,9,504.0,8.4,C
2019,10,596.0,9.933333333333334,C
2019,11,506.0,8.433333333333334,C
2019,12,457.0,7.616666666666666,C
2020,1,494.5,8.241666666666667,C
2020,2,429.5,7.158333333333333,C
2020,3,500.0,8.333333333333334,C
2020,4,578.0,9.633333333333333,C
2020,5,497.0,8.283333333333333,C
2020,6,507.5,8.458333333333334,C
2020,7,596.0,9.933333333333334,C
2020,8,486.0,8.1,C
2020,9,452.0,7.533333333333333,C
2020,10,513.5,8.558333333333334,C
2020,11,556.0,9.266666666666667,C
2020,12,465.0,7.75,C
2021,1,581.0,9.683333333333334,C
2021,2,591.5,9.858333333333333,C
2021,3,739.0,12.316666666666666,C
2021,4,734.0,12.233333333333333,C
2021,5,564.0,9.4,C
2021,6,496.0,8.266666666666667,C
2021,7,536.0,8.933333333333334,C
2021,8,479.0,7.983333333333333,C
2021,9,508.0,8.466666666666667,C
2021,10,599.0,9.983333333333333,C
2021,11,664.0,11.066666666666666,C
2021,12,696.5,11.608333333333333,C
2016,1,543.0,9.05,IDW
2016,2,598.0,9.966666666666667,IDW
2016,3,512.0,8.533333333333333,IDW
2016,4,666.0,11.1,IDW
2016,5,662.5,11.041666666666666,IDW
2016,6,635.0,10.583333333333334,IDW
2016,7,753.0,12.55,IDW
2016,8,623.5,10.391666666666667,IDW
2016,9,735.0,12.25,IDW
2016,10,949.0,15.816666666666666,IDW
2016,11,489.0,8.15,IDW
2016,12,767.5,12.791666666666666,IDW
2017,1,795.0,13.25,IDW
2017,2,1122.0,18.7,IDW
2017,3,1026.0,17.1,IDW
2017,4,1202.0,20.033333333333335,IDW
2017,5,1305.0,21.75,IDW
2017,6,1031.0,17.183333333333334,IDW
2017,7,1098.0,18.3,IDW
2017,8,975.0,16.25,IDW
2017,9,1152.0,19.2,IDW
2017,10,798.0,13.3,IDW
2017,11,808.0,13.466666666666667,IDW
2017,12,842.5,14.041666666666666,IDW
2018,1,1058.0,17.633333333333333,IDW
2018,2,1021.5,17.025,IDW
2018,3,888.0,14.8,IDW
2018,4,1131.0,18.85,IDW
2018,5,1215.0,20.25,IDW
2018,6,1068.0,17.8,IDW
2018,7,1016.5,16.941666666666666,IDW
2018,8,1019.0,16.983333333333334,IDW
2018,9,1232.0,20.533333333333335,IDW
2018,10,915.0,15.25,IDW
2018,11,1117.0,18.616666666666667,IDW
2018,12,1298.0,21.633333333333333,IDW
2019,1,1017.5,16.958333333333332,IDW
2019,2,962.0,16.033333333333335,IDW
2019,3,993.5,16.558333333333334,IDW
2019,4,1431.5,23.858333333333334,IDW
2019,5,1336.0,22.266666666666666,IDW
2019,6,1433.0,23.883333333333333,IDW
2019,7,810.0,13.5,IDW
2019,8,1074.5,17.908333333333335,IDW
2019,9,935.5,15.591666666666667,IDW
2019,10,1076.5,17.941666666666666,IDW
2019,11,1528.0,25.466666666666665,IDW
2019,12,985.0,16.416666666666668,IDW
2020,1,1312.0,21.866666666666667,IDW
2020,2,827.0,13.783333333333333,IDW
2020,3,944.0,15.733333333333333,IDW
2020,4,1351.0,22.516666666666666,IDW
2020,5,1260.0,21.0,IDW
2020,6,1198.0,19.966666666666665,IDW
2020,7,933.5,15.558333333333334,IDW
2020,8,1371.5,22.858333333333334,IDW
2020,9,1392.5,23.208333333333332,IDW
2020,10,1263.0,21.05,IDW
2020,11,1470.0,24.5,IDW
2020,12,1030.0,17.166666666666668,IDW
2021,1,833.0,13.883333333333333,IDW
2021,2,928.0,15.466666666666667,IDW
2021,3,1268.0,21.133333333333333,IDW
2021,4,1362.0,22.7,IDW
2021,5,869.0,14.483333333333333,IDW
2021,6,884.0,14.733333333333333,IDW
2021,7,894.0,14.9,IDW
2021,8,1085.0,18.083333333333332,IDW
2021,9,996.5,16.608333333333334,IDW
2021,10,1043.0,17.383333333333333,IDW
2021,11,1038.0,17.3,IDW
2021,12,917.0,15.283333333333333,IDW
2016,1,252.5,4.208333333333333,R
2016,2,299.5,4.991666666666666,R
2016,3,387.5,6.458333333333333,R
2016,4,341.0,5.683333333333334,R
2016,5,439.0,7.316666666666666,R
2016,6,355.0,5.916666666666667,R
2016,7,348.0,5.8,R
2016,8,359.0,5.983333333333333,R
2016,9,444.0,7.4,R
2016,10,439.0,7.316666666666666,R
2016,11,346.0,5.766666666666667,R
2016,12,442.0,7.366666666666666,R
2017,1,462.0,7.7,R
2017,2,452.0,7.533333333333333,R
2017,3,461.0,7.683333333333334,R
2017,4,483.0,8.05,R
2017,5,379.0,6.316666666666666,R
2017,6,344.5,5.741666666666666,R
2017,7,329.0,5.483333333333333,R
2017,8,501.0,8.35,R
2017,9,384.0,6.4,R
2017,10,479.0,7.983333333333333,R
2017,11,352.5,5.875,R
2017,12,495.0,8.25,R
2018,1,467.0,7.783333333333333,R
2018,2,546.0,9.1,R
2018,3,330.0,5.5,R
2018,4,368.0,6.133333333333334,R
2018,5,451.0,7.516666666666667,R
2018,6,517.0,8.616666666666667,R
2018,7,454.0,7.566666666666666,R
2018,8,420.5,7.008333333333334,R
2018,9,559.0,9.316666666666666,R
2018,10,346.0,5.766666666666667,R
2018,11,394.0,6.566666666666666,R
2018,12,328.0,5.466666666666667,R
2019,1,429.0,7.15,R
2019,2,566.0,9.433333333333334,R
2019,3,421.0,7.016666666666667,R
2019,4,545.0,9.083333333333334,R
2019,5,564.0,9.4,R
2019,6,409.5,6.825,R
2019,7,454.5,7.575,R
2019,8,539.0,8.983333333333333,R
2019,9,505.0,8.416666666666666,R
2019,10,524.0,8.733333333333333,R
2019,11,572.0,9.533333333333333,R
2019,12,485.0,8.083333333333334,R
2020,1,501.5,8.358333333333333,R
2020,2,449.5,7.491666666666666,R
2020,3,624.0,10.4,R
2020,4,532.0,8.866666666666667,R
2020,5,475.0,7.916666666666667,R
2020,6,621.0,10.35,R
2020,7,574.5,9.575,R
2020,8,569.5,9.491666666666667,R
2020,9,600.0,10.0,R
2020,10,611.0,10.183333333333334,R
2020,11,611.5,10.191666666666666,R
2020,12,627.0,10.45,R
2021,1,628.0,10.466666666666667,R
2021,2,650.0,10.833333333333334,R
2021,3,562.0,9.366666666666667,R
2021,4,650.0,10.833333333333334,R
2021,5,701.0,11.683333333333334,R
2021,6,615.0,10.25,R
2021,7,487.0,8.116666666666667,R
2021,8,744.0,12.4,R
2021,9,589.0,9.816666666666666,R
2021,10,787.0,13.116666666666667,R
2021,11,928.0,15.466666666666667,R
2021,12,683.0,11.383333333333333,R
2016,1,614.0,10.233333333333333,fR
2016,2,650.0,10.833333333333334,fR
2016,3,516.5,8.608333333333333,fR
2016,4,631.5,10.525,fR
2016,5,604.5,10.075,fR
2016,6,482.0,8.033333333333333,fR
2016,7,492.0,8.2,fR
2016,8,465.5,7.758333333333334,fR
2016,9,421.0,7.016666666666667,fR
2016,10,523.0,8.716666666666667,fR
2016,11,460.0,7.666666666666667,fR
2016,12,710.0,11.833333333333334,fR
2017,1,538.0,8.966666666666667,fR
2017,2,583.5,9.725,fR
2017,3,755.5,12.591666666666667,fR
2017,4,564.0,9.4,fR
2017,5,645.0,10.75,fR
2017,6,535.0,8.916666666666666,fR
2017,7,756.0,12.6,fR
2017,8,542.0,9.033333333333333,fR
2017,9,743.0,12.383333333333333,fR
2017,10,569.0,9.483333333333333,fR
2017,11,925.0,15.416666666666666,fR
2017,12,673.0,11.216666666666667,fR
2018,1,626.5,10.441666666666666,fR
2018,2,965.5,16.091666666666665,fR
2018,3,930.0,15.5,fR
2018,4,853.5,14.225,fR
2018,5,898.0,14.966666666666667,fR
2018,6,603.5,10.058333333333334,fR
2018,7,1215.0,20.25,fR
2018,8,694.0,11.566666666666666,fR
2018,9,1185.0,19.75,fR
2018,10,578.0,9.633333333333333,fR
2018,11,1009.0,16.816666666666666,fR
2018,12,863.0,14.383333333333333,fR
2019,1,622.0,10.366666666666667,fR
2019,2,657.0,10.95,fR
2019,3,1176.0,19.6,fR
2019,4,732.5,12.208333333333334,fR
2019,5,1068.5,17.808333333333334,fR
2019,6,571.0,9.516666666666667,fR
2019,7,1469.0,24.483333333333334,fR
2019,8,699.0,11.65,fR
2019,9,1120.5,18.675,fR
2019,10,744.5,12.408333333333333,fR
2019,11,914.0,15.233333333333333,fR
2019,12,964.0,16.066666666666666,fR
2020,1,353.0,5.883333333333334,fR
2020,2,667.5,11.125,fR
2020,3,1026.0,17.1,fR
2020,4,591.0,9.85,fR
2020,5,288.0,4.8,fR
2020,6,506.0,8.433333333333334,fR
2020,7,908.5,15.141666666666667,fR
2020,8,299.5,4.991666666666666,fR
2020,9,638.0,10.633333333333333,fR
2020,10,399.0,6.65,fR
2020,11,574.5,9.575,fR
2020,12,481.0,8.016666666666667,fR
2021,1,524.5,8.741666666666667,fR
2021,2,741.0,12.35,fR
2021,3,325.5,5.425,fR
2021,4,414.0,6.9,fR
2021,5,585.0,9.75,fR
2021,6,261.5,4.358333333333333,fR
2021,7,408.5,6.808333333333334,fR
2021,8,847.0,14.116666666666667,fR
2021,9,346.5,5.775,fR
2021,10,476.5,7.941666666666666,fR
2021,11,436.0,7.266666666666667,fR
2021,12,456.0,7.6,fR